"watershed","reach","position","ID","mean_well_depth_cm","lat","lon","elevation","doc_mg.l","TYPE","Time","doc_mg.l.1","tdn_mg.l","na_mg.l","nh4_mg.l","K_mg.l","Mg_mg.l","Ca_mg.l","F_mg.l","Cl_mg.l","NO3_mg.l","PO4_mg.l","SO4_mg.l","usfs_DOC","MSU_DOC","date","fullid","Int_Abs","dec_254","dec_300","dec_562","a300","a305","a313","a320","a340","a380","a395","a412","Slope_ratio","Int_Fluor","peak_A_250.450","peak_C_350.450","peak_T_275.340","Fluorescence_Index","SUVA254","peak_ratioAT","peak_ratioCA","peak_ratioCT","Filename","area_m","analysis","area_km","transect","Qm3_s","fraction","reachposition","count_1.5","count_6.10","count_11.15","count_.15","percent_1.5","percent_6.10","percent_11.15","percent_.15","site","year","ndmi_raster_mean","ndmi_raster_median","ndvi_raster_mean","ndvi_raster_median","twi_mean","twi_median","slope_mean","slope_median","elevabovestreams_mean","elevabovestreams_median","disttostreams_mean","disttostreams_median","aspect_mean","aspect_median","resampled_mean","resampled_median","distance.to.outlet","percent_Beetle.kill","percent_Meadows","percent_Old.Forest","percent_cut.regenerating","percent_Tundra","stage","stage_num","Input.mm","snowpack_3day_avg","melt_snow_interact"
"fc","fc1","rw2",282,118,39.89110898,-105.867754,NA,9.07,"monitoring","12:00",9.07,NA,2.74,0.03,1.07,1.43,7.22,0.08,0.55,0.06,0,1.97,NA,9.07,2022-05-17,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fc1_rw2",8200,"dinf",0.0082,1,0.052499407,1,"FC1_rw2",13541,12745,1421,109,48.68061547,45.81895312,5.108570607,0.3918608,"fc1",2022,0.08994564,0.09260531,0.206539452,0.204045802,6.71660614,6.496210575,14.61667538,14.14783287,68.69373126,52.94848633,280.7242811,230,193.6976823,283.7517525,3202.89502,3194.797363,0,40.38150663,2.812803104,31.55512447,25.25056579,0,"Ascending Limb",4,13.3676401641754,359.16,4595.30810634153
"fc","fc1","rw2",43,118,39.89110898,-105.867754,NA,3.13,"monitoring","17:40",3.13,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.13,NA,2021-06-02,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fc1_rw2",8200,"dinf",0.0082,1,0.079710635,1,"FC1_rw2",13541,12745,1421,109,48.68061547,45.81895312,5.108570607,0.3918608,"fc1",2021,0.08994564,0.09260531,0.206539452,0.204045802,6.71660614,6.496210575,14.61667538,14.14783287,68.69373126,52.94848633,280.7242811,230,193.6976823,283.7517525,3202.89502,3194.797363,0,40.38150663,2.812803104,31.55512447,25.25056579,0,"Ascending Limb",4,0,286.47,0
"fc","fc1","rw2",256,118,39.89110898,-105.867754,NA,13.78,"monitoring","10:58",13.78,NA,2.66,0.04,1.16,1.5,8.43,0.07,1.54,0.03,0,2.26,NA,13.78,2022-05-09,"FEF256i1h",2556.6,44.293,23.11,0,53.222,49.148,43.289,38.524,27.49,12.821,9.6603,7.0839,0.78434+0i,498000,84.558,31.57,43.956,1.4841,3.214296081,1.923696424,0.373353201,0.718218218,"fc1_rw2",8200,"dinf",0.0082,1,0.011524951,1,"FC1_rw2",13541,12745,1421,109,48.68061547,45.81895312,5.108570607,0.3918608,"fc1",2022,0.08994564,0.09260531,0.206539452,0.204045802,6.71660614,6.496210575,14.61667538,14.14783287,68.69373126,52.94848633,280.7242811,230,193.6976823,283.7517525,3202.89502,3194.797363,0,40.38150663,2.812803104,31.55512447,25.25056579,0,"Ascending Limb",4,1.2264385542552,513.94,613.529566081827
"fc","fc1","rw2",301,118,39.89110898,-105.867754,NA,7.12,"monitoring","16:05",7.12,NA,2.96,0.04,1.08,1.58,8.72,0.07,0.52,0.05,0,0.98,NA,7.12,2022-05-30,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fc1_rw2",8200,"dinf",0.0082,1,0.056463763,1,"FC1_rw2",13541,12745,1421,109,48.68061547,45.81895312,5.108570607,0.3918608,"fc1",2022,0.08994564,0.09260531,0.206539452,0.204045802,6.71660614,6.496210575,14.61667538,14.14783287,68.69373126,52.94848633,280.7242811,230,193.6976823,283.7517525,3202.89502,3194.797363,0,40.38150663,2.812803104,31.55512447,25.25056579,0,"Ascending Limb",4,0,281.34,0
"fc","fc1","lw1",284,115.5,39.89111803,-105.86782,NA,3.51,"monitoring","12:15",3.51,NA,2.62,0.06,1.5,2.91,15.01,0.07,0.76,0.07,0,4.43,NA,3.51,2022-05-17,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fc1_lw1",2859800,"dinf",2.8598,1,0.052329506,1,"FC1_lw1",13548,12768,1430,110,48.63584147,45.83572659,5.13354394,0.394887995,"fc1",2022,0.08994141,0.09260531,0.206557468,0.204130158,6.717443466,6.496062756,14.61641216,14.14783287,68.64491455,52.89526367,280.5364101,230,193.5775497,283.5976723,3202.515869,3194.501465,0,40.43506078,2.815099168,31.76583493,24.98400512,0,"Ascending Limb",4,13.3676401641754,359.16,4595.30810634153
"fc","fc1","lw1",316,115.5,39.89111803,-105.86782,NA,2.42,"monitoring","15:00",2.42,NA,3.06,0.07,1.23,2.36,13.21,0.04,0.76,0.1,0,1.98,NA,2.42,2022-06-06,"FEF3160209i1h",512.2814603,10.0613808,5.154141686,0,11.8699883,10.86318293,9.546611275,8.278376383,5.592229413,1.996702428,1.159441583,0.530330051,0.548337481+0i,61230.81886,8.554802723,3.929654311,5.14076232,1.504189459,4.157595372,1.6641117,0.459350664,0.764410814,"fc1_lw1",2859800,"dinf",2.8598,1,0.082883367,1,"FC1_lw1",13548,12768,1430,110,48.63584147,45.83572659,5.13354394,0.394887995,"fc1",2022,0.08994141,0.09260531,0.206557468,0.204130158,6.717443466,6.496062756,14.61641216,14.14783287,68.64491455,52.89526367,280.5364101,230,193.5775497,283.5976723,3202.515869,3194.501465,0,40.43506078,2.815099168,31.76583493,24.98400512,0,"Ascending Limb",4,0,194.12,0
"fc","fc1","lw1",45,115.5,39.89111803,-105.86782,NA,4.15,"monitoring","17:54",4.15,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15,NA,2021-06-02,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fc1_lw1",2859800,"dinf",2.8598,1,0.079935721,1,"FC1_lw1",13548,12768,1430,110,48.63584147,45.83572659,5.13354394,0.394887995,"fc1",2021,0.08994141,0.09260531,0.206557468,0.204130158,6.717443466,6.496062756,14.61641216,14.14783287,68.64491455,52.89526367,280.5364101,230,193.5775497,283.5976723,3202.515869,3194.501465,0,40.43506078,2.815099168,31.76583493,24.98400512,0,"Ascending Limb",4,0,286.47,0
"fc","fc1","lw1",300,115.5,39.89111803,-105.86782,NA,2.79,"monitoring","16:20",2.79,NA,3.29,0.07,1.42,2.49,12.43,0.06,0.71,0.1,0,3.31,NA,2.79,2022-05-30,"FEF3000307i1h",618.76,9.4923,5.293,0,12.19,11.288,9.9964,9.0012,6.6349,3.4434,2.5674,1.9117,0.81572+0i,82873,21.62,5.1117,6.2721,1.5233,3.402258065,3.447011368,0.236433858,0.814990195,"fc1_lw1",2859800,"dinf",2.8598,1,0.056293862,1,"FC1_lw1",13548,12768,1430,110,48.63584147,45.83572659,5.13354394,0.394887995,"fc1",2022,0.08994141,0.09260531,0.206557468,0.204130158,6.717443466,6.496062756,14.61641216,14.14783287,68.64491455,52.89526367,280.5364101,230,193.5775497,283.5976723,3202.515869,3194.501465,0,40.43506078,2.815099168,31.76583493,24.98400512,0,"Ascending Limb",4,0,281.34,0
"fc","fc1","rw1",315,114,39.89111301,-105.867779,NA,4.78,"monitoring","14:45",4.78,NA,2.89,0.05,1.23,1.47,8.47,0.04,0.48,0.09,0,2,NA,4.78,2022-06-06,"FEF315i1h",537.54,7.5506,4.106,0,9.4561,8.8019,7.9521,7.2956,5.762,3.4704,2.848,2.5306,1.2251+0i,138000,62.78,7.6835,10.456,1.5969,1.579623431,6.00420811,0.122387703,0.734841239,"fc1_rw1",2859800,"dinf",2.8598,1,0.082430298,1,"FC1_rw1",13548,12768,1430,110,48.63584147,45.83572659,5.13354394,0.394887995,"fc1",2022,0.08994141,0.09260531,0.206557468,0.204130158,6.717443466,6.496062756,14.61641216,14.14783287,68.64491455,52.89526367,280.5364101,230,193.5775497,283.5976723,3202.515869,3194.501465,0,40.43506078,2.815099168,31.76583493,24.98400512,0,"Ascending Limb",4,0,194.12,0
"fc","fc1","rw1",283,114,39.89111301,-105.867779,NA,3.15,"monitoring","12:15",3.15,NA,3.28,0.11,1.14,1.63,8.17,0.01,0.61,0.07,0,1.94,NA,3.15,2022-05-17,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fc1_rw1",2859800,"dinf",2.8598,1,0.052329506,1,"FC1_rw1",13548,12768,1430,110,48.63584147,45.83572659,5.13354394,0.394887995,"fc1",2022,0.08994141,0.09260531,0.206557468,0.204130158,6.717443466,6.496062756,14.61641216,14.14783287,68.64491455,52.89526367,280.5364101,230,193.5775497,283.5976723,3202.515869,3194.501465,0,40.43506078,2.815099168,31.76583493,24.98400512,0,"Ascending Limb",4,13.3676401641754,359.16,4595.30810634153
"fc","fc1","rw1",44,114,39.89111301,-105.867779,NA,4.28,"monitoring","17:47",4.28,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.28,NA,2021-06-02,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fc1_rw1",2859800,"dinf",2.8598,1,0.079935721,1,"FC1_rw1",13548,12768,1430,110,48.63584147,45.83572659,5.13354394,0.394887995,"fc1",2021,0.08994141,0.09260531,0.206557468,0.204130158,6.717443466,6.496062756,14.61641216,14.14783287,68.64491455,52.89526367,280.5364101,230,193.5775497,283.5976723,3202.515869,3194.501465,0,40.43506078,2.815099168,31.76583493,24.98400512,0,"Ascending Limb",4,0,286.47,0
"fc","fc1","rw1",257,114,39.89111301,-105.867779,NA,3.62,"monitoring","11:13",3.62,NA,2.9,0.12,1.23,1.5,8.23,0.04,1.2,0.01,0,1.72,NA,3.62,2022-05-09,"FEF257i1h",506.83,9.4808,4.7084,0,10.843,9.9097,8.5948,7.6047,5.4478,2.534,1.8668,1.369,0.86246+0i,141000,25.387,8.9373,13.061,1.5323,2.619005525,1.943725595,0.352042384,0.684273792,"fc1_rw1",2859800,"dinf",2.8598,1,0.011581584,1,"FC1_rw1",13548,12768,1430,110,48.63584147,45.83572659,5.13354394,0.394887995,"fc1",2022,0.08994141,0.09260531,0.206557468,0.204130158,6.717443466,6.496062756,14.61641216,14.14783287,68.64491455,52.89526367,280.5364101,230,193.5775497,283.5976723,3202.515869,3194.501465,0,40.43506078,2.815099168,31.76583493,24.98400512,0,"Ascending Limb",4,1.2264385542552,513.94,613.529566081827
"fc","fc1","rw1",315,114,39.89111301,-105.867779,NA,4.78,"monitoring","14:45",4.78,NA,2.89,0.05,1.23,1.47,8.47,0.04,0.48,0.09,0,2,NA,4.78,2022-06-06,"FEF3150307i1h",391.07,6.5214,3.3247,0,7.6568,7.0849,6.1276,5.6114,4.288,2.2164,1.8721,1.4324,1.0542+0i,57875,14.472,3.5435,5.1113,1.5915,1.364309623,2.831373623,0.244852128,0.693267857,"fc1_rw1",2859800,"dinf",2.8598,1,0.082430298,1,"FC1_rw1",13548,12768,1430,110,48.63584147,45.83572659,5.13354394,0.394887995,"fc1",2022,0.08994141,0.09260531,0.206557468,0.204130158,6.717443466,6.496062756,14.61641216,14.14783287,68.64491455,52.89526367,280.5364101,230,193.5775497,283.5976723,3202.515869,3194.501465,0,40.43506078,2.815099168,31.76583493,24.98400512,0,"Ascending Limb",4,0,194.12,0
"fc","fc1","rw1",302,114,39.89111301,-105.867779,NA,2.62,"monitoring","16:10",2.62,NA,2.31,0.02,1.08,1.32,7.93,0.06,0.24,0.04,0,2.03,NA,2.62,2022-05-30,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fc1_rw1",2859800,"dinf",2.8598,1,0.056463763,1,"FC1_rw1",13548,12768,1430,110,48.63584147,45.83572659,5.13354394,0.394887995,"fc1",2022,0.08994141,0.09260531,0.206557468,0.204130158,6.717443466,6.496062756,14.61641216,14.14783287,68.64491455,52.89526367,280.5364101,230,193.5775497,283.5976723,3202.515869,3194.501465,0,40.43506078,2.815099168,31.76583493,24.98400512,0,"Ascending Limb",4,0,281.34,0
"fc","fc1","stream",26,NA,39.89111996,-105.867844,NA,2.99,"monitoring","13:00",2.99,0.18,2.5,0.01,0.85,1.38,6.2,0.06,0.42,0.09,0,2.35,2.99,NA,2021-05-20,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fc1_stream",2859800,"dinf",2.8598,1,0.027251721,1,"FC1_stream",13548,12768,1430,110,48.63584147,45.83572659,5.13354394,0.394887995,"fc1",2022,0.08994141,0.09260531,0.206557468,0.204130158,6.717443466,6.496062756,14.61641216,14.14783287,68.64491455,52.89526367,280.5364101,230,193.5775497,283.5976723,3202.515869,3194.501465,0,40.43506078,2.815099168,31.76583493,24.98400512,0,"Ascending Limb",4,8.58525916290762,458.35,3810.25992717852
"fc","fc1","stream",281,NA,39.89111996,-105.867844,NA,6.46,"monitoring","11:54",6.46,NA,2.63,0.01,0.87,1.52,8.23,0.04,0.36,0.05,0,2.17,NA,6.46,2022-05-17,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fc1_stream",2859800,"dinf",2.8598,1,0.052499407,1,"FC1_stream",13548,12768,1430,110,48.63584147,45.83572659,5.13354394,0.394887995,"fc1",2022,0.08994141,0.09260531,0.206557468,0.204130158,6.717443466,6.496062756,14.61641216,14.14783287,68.64491455,52.89526367,280.5364101,230,193.5775497,283.5976723,3202.515869,3194.501465,0,40.43506078,2.815099168,31.76583493,24.98400512,0,"Ascending Limb",4,13.3676401641754,359.16,4595.30810634153
"fc","fc1","stream",314,NA,39.89111996,-105.867844,NA,3.71,"monitoring","14:20",3.71,NA,2.31,0.01,0.79,1.22,6.95,0.04,0.25,0.08,0,1.8,NA,3.71,2022-06-06,"FEF3140210i1h",1430.2,20.783,11.828,0,27.239,25.368,22.849,20.637,15.241,8.0318,6.3199,4.8834,0.77156+0i,356000,106.4,22.11,28.69,1.4483,5.601886792,3.708609272,0.207800752,0.770651795,"fc1_stream",2859800,"dinf",2.8598,1,0.081297625,1,"FC1_stream",13548,12768,1430,110,48.63584147,45.83572659,5.13354394,0.394887995,"fc1",2022,0.08994141,0.09260531,0.206557468,0.204130158,6.717443466,6.496062756,14.61641216,14.14783287,68.64491455,52.89526367,280.5364101,230,193.5775497,283.5976723,3202.515869,3194.501465,0,40.43506078,2.815099168,31.76583493,24.98400512,0,"Ascending Limb",4,0,194.12,0
"fc","fc1","stream",3,NA,39.89111996,-105.867844,NA,3.17,"monitoring","12:00",3.17,0.2,2.74,0.01,0.88,1.39,5.94,0.01,0.28,0.09,0.48,3.13,3.17,NA,2021-05-06,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fc1_stream",2859800,"dinf",2.8598,1,0.007938811,1,"FC1_stream",13548,12768,1430,110,48.63584147,45.83572659,5.13354394,0.394887995,"fc1",2022,0.08994141,0.09260531,0.206557468,0.204130158,6.717443466,6.496062756,14.61641216,14.14783287,68.64491455,52.89526367,280.5364101,230,193.5775497,283.5976723,3202.515869,3194.501465,0,40.43506078,2.815099168,31.76583493,24.98400512,0,"Ascending Limb",4,5.62057819987666,493.41,2797.29207490894
"fc","fc1","stream",42,NA,39.89111996,-105.867844,NA,5.87,"monitoring","17:06",5.87,0.12,2.08,0.02,0.69,1.1,5.98,0.05,0.31,0.05,0,2.24,5.87,NA,2021-06-02,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fc1_stream",2859800,"dinf",2.8598,1,0.07903763,1,"FC1_stream",13548,12768,1430,110,48.63584147,45.83572659,5.13354394,0.394887995,"fc1",2021,0.08994141,0.09260531,0.206557468,0.204130158,6.717443466,6.496062756,14.61641216,14.14783287,68.64491455,52.89526367,280.5364101,230,193.5775497,283.5976723,3202.515869,3194.501465,0,40.43506078,2.815099168,31.76583493,24.98400512,0,"Ascending Limb",4,0,286.47,0
"fc","fc1","stream",303,NA,39.89111996,-105.867844,NA,4.97,"monitoring","16:15",4.97,NA,2.19,0.02,0.86,1.67,8.75,0.03,0.47,0.07,0,1.66,NA,4.97,2022-05-30,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fc1_stream",2859800,"dinf",2.8598,1,0.056293862,1,"FC1_stream",13548,12768,1430,110,48.63584147,45.83572659,5.13354394,0.394887995,"fc1",2022,0.08994141,0.09260531,0.206557468,0.204130158,6.717443466,6.496062756,14.61641216,14.14783287,68.64491455,52.89526367,280.5364101,230,193.5775497,283.5976723,3202.515869,3194.501465,0,40.43506078,2.815099168,31.76583493,24.98400512,0,"Ascending Limb",4,0,281.34,0
